password,strength
Gj;vbRYtsDh&92KdN716>6k;l,Excellent
b2NY*?g0+WsabbFS9,Strong
L57Ntwof)t!Hn48A6j=pkvZ.C,Excellent
gQ2ni(LdF=jA#0u,Strong
hunter725,Weak
18IjwkhHv6$kagLkq]@J1VSrp-,Excellent
rw01,Very Weak
agci,Very Weak
j1&98?r3+,Moderate
:7o?YC=(D)9,Moderate
c8prm1-Lk3dMa8YtoZK|5I)2,Excellent
fq$7?69mU#^Vt8,Strong
xdl,Very Weak
thomas564,Weak
PEM(h%c0|fuR2t,Strong
uJml?H$>Pde,Moderate
ev^F[uy)Zf2emjHLfzEE245k5[,Excellent
4_1Y^t;44lP,Moderate
w@><rQCm03r,Moderate
4t|owfDO%P94Td&ohi2z2pqcP,Excellent
oavaxnw66,Weak
Security843[,Moderate
5ppX|6ww}+InKYq3B,Strong
70651,Very Weak
nlkRx3=ZCd5b%ha%>v33[iTGY^S,Excellent
uuuuuu,Very Weak
04hzcxatpw19,Moderate
66037,Very Weak
&Y)Jd1@4XR,Moderate
r58mr*Ii<7kngtua=1bEBaL06w,Excellent
244063,Very Weak
Jupiter586:,Moderate
Lydmnbyvm,Weak
ywgwmslb1,Weak
Zwn%;ae3o{,Moderate
97%1D]!&(SQfZRB,Strong
05uwaxlyje32,Moderate
ikqnefvf1,Weak
7340603675,Weak
S<ck-g^wEi8;pg0H&3g6ZoXaG1,Excellent
afoezr76,Weak
jHk5%[dlb<%n0iIG1MZJamzw7,Excellent
yHtbZ$;cR5,Moderate
Pdji,Very Weak
&c4J0KmZwseq^M=Q4,Strong
Qma,Very Weak
ip66,Very Weak
TFr@l?s(d1,Moderate
og%KF.qY8lp9!D,Strong
ry52,Very Weak
Vt-e2PjKpn*7h0vh+IU5rqA|6,Excellent
%^K38s2m0:eiz1OihhliklpBXo,Excellent
Security524|,Moderate
gp64,Very Weak
ih46,Very Weak
0qvEBR440Y!7o|?,Strong
+8ulPf75cfBYo!viLy_mvMh0wP,Excellent
7115461672,Weak
7835,Very Weak
kE8Lm7ipZt.%YK7.,Strong
PjY1Uk4k5da3wd.(8SdyAx1s-E,Excellent
dfirn,Very Weak
"ajw}m9OSk[5Y,Fv",Strong
&3rb5acK5ux0eNv4eOLu@0xtI+,Excellent
r7mK.Ba3mRt]5M*W,Strong
uu50,Very Weak
995956,Very Weak
Sjt,Very Weak
dragon542,Weak
ebogc07,Weak
avjuxiw4,Weak
sobpfpas5,Weak
"yqiLS*6gH6ugqD05L]nqi,aV6v",Excellent
iDcga5n78UyP,Moderate
BjDzu1c26hQt,Moderate
oVgBN4p1%4_vPhkM),Strong
LeGvtg62SL9VOdbp-#lqhy}1,Excellent
zb22,Very Weak
0.kPZUgs[a(Yf8,Strong
gfxkqll96,Weak
5208,Very Weak
3RXyo0mcU8z,Moderate
vj80,Very Weak
02yh8(]iUQ8,Moderate
",}1c31kU]C8:c$^Io9yD7mDZX8;H",Excellent
jdk,Very Weak
Btq,Very Weak
0378240187,Weak
azpniwgmbku],Moderate
dvxpayn4,Weak
B%G29?V{&I3t;FM,Strong
"r8jn2*0jMcerMslb[65snk,ZCw",Excellent
&En6)(SBZkf75%1,Strong
@7[l]jqUHKTO6rs6,Strong
Zxthfdnow,Weak
dragon450,Weak
1f#UQcblv5h<CxPfIx@ykI0i7,Excellent
Bxl,Very Weak
Olyoq,Very Weak
nFU-0vQ[Lbs.E66s,Strong
"Or4,l83h&X,XxxXSn",Strong
8oeqI6z]dS=v.u5,Strong
iz34,Very Weak
twzgvf78,Weak
charlie32,Weak
Tujuljygo,Weak
JW>93jbd*ifi(Mi1tagKYh06,Excellent
Phoenix392},Moderate
6w2Tyv3LB[8Ax(62xN%me-vmqC,Excellent
Hvxlm,Very Weak
e!;]kYn1tM,Moderate
yvqu,Very Weak
5571,Very Weak
Sp>D<O_f8d8,Moderate
c#E6cieknlAp]1+8c2eYzezN0,Excellent
fJ=l7gQ(V)l3O3Xs56Ouarh4k;,Excellent
2775,Very Weak
0858672618,Weak
)ZwR^SMRUatp32<0;gA5Uf}7,Excellent
737,Very Weak
d8RW{f3@n(VSp9,Strong
mbupczflqeh=,Moderate
qT5(-F]]aHZK22DQi9fx]p*[x>Mx,Excellent
R%m=0D^ksqP7B2gu,Strong
IFT;(JVR!B9z7M,Strong
rgihvoeja,Weak
78*3dANjpD.Bpn{Ec,Strong
fca,Very Weak
dflbq,Very Weak
85800,Very Weak
eomy8C<HpMKP>4$0,Strong
5Dhzf48ImUep,Moderate
jyzb,Very Weak
"Sqd$9r4[,z]6pnE",Strong
BjC%NsO(le(zhR403,Strong
Rcvg,Very Weak
]o5PK&#12,Moderate
welcome,Very Weak
)RiH&GPZz6A8DY?,Strong
Security54?,Moderate
5TRau6Kd3fw,Moderate
i6ya8-]1zSHXb;n,Strong
buster492,Weak
F?]PLl]5k+l,Moderate
fBn8XJG04=yda_@,Strong
edllqksd7,Weak
|TsyS1!M@ccdhH?W5^QJFc0}Mis4,Excellent
57ua2od_T.QmAT2Kx.djzZ77v,Excellent
9300,Very Weak
w|umgh.!S98TY*y2dz$olWwT4X,Excellent
mg-!8x{YN5I7ElgP,Strong
ggfvvju10,Weak
avwfykiz,Weak
ktvhwvna1,Weak
2LLl@ep?iZ$038d%iuZ#v<-WEB{2,Excellent
a<d}MLmB1cI*0G5h,Strong
8225449244,Weak
xrnglay9,Weak
CCD2iRhc1}vWMMG7v5&(&>)y<bq,Excellent
jessica711,Weak
p5Jil138[LIMSmfq[shy0sE?,Excellent
0#mpXbMaqT!Bpj=9zBWP;BRgBMc8,Excellent
!JtdcVzIplM,Moderate
zzzzzzz,Very Weak
=Ka[0cTJ-haQl&l7w1Xex1a2Kt,Excellent
MazY?9%{VCLu2q,Strong
Bodpgise,Weak
mawynfu56,Weak
200442,Very Weak
Traj&>Y]Bq70mL,Strong
ro9Wf9wl]cr6O0Jd19Jv%p%mNB,Excellent
dragon642,Weak
763465,Very Weak
jessica712,Weak
zr37,Very Weak
B&2@Dfa8S6CxZhw,Strong
jbmezir88,Weak
-oIMG@2XQa;eDl,Strong
login,Very Weak
9N5kimMHtjK0h.cI70mlzk_;,Excellent
"c=Q1BOH],Xvj0A",Strong
xcr[1-1GNoJ>Pgx8y17wa=#XmX,Excellent
Ow8GpD!iATxu79J7NL([N!nwM6u,Excellent
Security92[,Moderate
"x<wUCN95UZ]sDIEOra,5N9tGt6|",Excellent
bowynk06,Weak
26&!KB;LS7N(0,Strong
9NB)R@*$6cL,Moderate
mwfdDQ2xH81BOe#%0d2Ij*cgo,Excellent
640336,Very Weak
go?s=n[k5nEdr3F9fNEl9D[V+2,Excellent
5_yY1hv#tP1,Moderate
tcvcibu42,Weak
yyyyyy,Very Weak
hzyv,Very Weak
ugqk,Very Weak
ypdma09,Weak
;c!O*Tm=1r?,Moderate
7p:*13Dh]W,Moderate
dragon39,Weak
pmaygs48,Weak
gm*AwDXm7-zl{uv3t8DqSB9>i,Excellent
49LQ{s(Y<Z,Moderate
)9kXCli{>twMQ7n8,Strong
dragon350,Weak
brdVbj2QaIuWZd8Djh1)s7AgC6&,Excellent
(aLJtpf28I{xgN=,Strong
dl92,Very Weak
38wy0agPLrF,Moderate
:gVGzed226fxeq^x37lhLr<Yl,Excellent
V6FyBw$U)%j4cx,Strong
p?4xQ3Tsj-BAoy.,Strong
y-8khnA8pKa=(YMV6,Strong
Jupiter935^,Moderate
hunter386,Weak
Nd68ugD2=c?0ylxm?u3uZjOfs,Excellent
eJN]%Z?G4,Moderate
%UmF]LSLX{>,Moderate
902977,Very Weak
Gbcwpuama,Weak
0i5tUjdOS4y,Moderate
4b91z}({Y,Moderate
bfelw04,Weak
pass,Very Weak
E8!Zx7y9}W?lBg,Strong
077836,Very Weak
Q8hQZ{fiZufaYfX6;x*b5od=j7,Excellent
oINh:w)t*2D,Moderate
b674E=uZ]yX,Moderate
856438883,Weak
fnxtho51,Weak
Jupiter893{,Moderate
"-NUPHyk,0pA8ek7s(",Strong
frw,Very Weak
bqmt|-%]pQsAuNH365YI8kn0em,Excellent
michael888,Weak
435,Very Weak
Rwmgjufsu,Weak
vflsxcdt9,Weak
Security90^,Moderate
zTc?2M{JRDP$(7U,Strong
cui319F?^w[rtKJ,Strong
7F&lf|14sbqqcvrDV0qhzT{F0,Excellent
>4E6RsFNt.7@H,Strong
erfZ2wD9no1S,Moderate
Security562[,Moderate
DWp$t:BZ5B2,Moderate
"ytAxtrjVq%+JDmv87{3pG,21F",Excellent
3%*VKB;cx,Moderate
wqgxd,Very Weak
7h5od5yv{Fv;7k|g0owNZGtoq,Excellent
bngz,Very Weak
67hdwagmtk59,Moderate
fsju,Very Weak
c?xm<mS+51yiU6xJZ0L7$d$asz,Excellent
hello,Very Weak
7063184472,Weak
llll,Very Weak
Uacbqpeek,Weak
165395,Very Weak
q&3:[h1O72P,Moderate
znaM2EP&)j%L14,Strong
Iv1fqcaYL.gyX7CbJYq#t8_9HbDm,Excellent
|58>SBCETD,Moderate
6D[Huam3o9Rb_!,Strong
.pm0fBqv3Kf}UT8E],Strong
Security17#,Moderate
Mgluuhdwb,Weak
vjnhsku2,Weak
38013,Very Weak
Hb<3A=FA_mG,Moderate
"Security142,",Moderate
W&=Wd9qp}K>eyC67Myfj&h>9FDP(,Excellent
charlie842,Weak
Security084#,Moderate
)i!1NqzL8ePE7k|[Bc3lFiWM$WK,Excellent
eCm]Tj9W=Kq,Moderate
swKzmja)YJ7G{LQV3di_B-3(Fj:m,Excellent
thomas693,Weak
2955,Very Weak
aiCf-u)d;lj6DFcB7R6F)z6u5=,Excellent
master721,Weak
Bzolcsdj,Weak
W+=g6CuTyh$ZD42,Strong
E36cI!pbOb!(A90K0cubpSjg<:,Excellent
dw39,Very Weak
Gup,Very Weak
|6Ki2mgHoD<E[8Q,Strong
(:1ubB3d[rGxjTJpw83yftltVz,Excellent
7ep1d*u0aOzpXmrHn(feJ#rb7Z,Excellent
]iXL5#}Ac,Moderate
uLWbk2F.cv7|4]cDS,Strong
"iaqyzlwvehu,",Moderate
K$EEQY=HSvz,Moderate
04586,Very Weak
"!X.8F6qOx-Apr,mv8l2(pOms6I",Excellent
o$bDD3HEw$S,Moderate
"Oac0u07BK&l&JmT,w",Strong
(ew2k*C9ZHvfo;NX,Strong
Q9md1.r1!$5S4VT!StE+TEJk+t<,Excellent
omajgy69,Weak
w[hv(XJy539Q*I,Strong
829904760,Weak
a4tv_%w1X]$L8qsy0Rvu0IzcsL,Excellent
0722,Very Weak
iOUc$94d9vi4c+dosFunb3Tt*,Excellent
rNz1N*dL=2c*vl8AD,Strong
XjQX^^2M(7Qf4I9,Strong
885695779,Weak
ju56,Very Weak
#?w5-SR91LMhbt,Strong
gw48,Very Weak
Ba6zbCO:WG2d#x6m-,Strong
S7x=XDB0yhQak2&?,Strong
charlie17,Weak
snhns,Very Weak
?1y[3vYrhk?3*ijpciiXe21HDf,Excellent
Security41;,Moderate
e}NoJb32CWjer:1)X,Strong
dauycize,Weak
michael646,Weak
D:*Xy@=G%5,Moderate
S.>Ik7TLVE81&,Strong
Jupiter249{,Moderate
tp72,Very Weak
N7k!w1EK{Gx&9krCp,Strong
tufpi35,Weak
dmtsdyg08,Weak
pM4]4luWydoc2=31D)Vx?dfarc,Excellent
9+3t1RpL=Q,Moderate
ypO8s9UEbzx{:4(W,Strong
2|Lh;r4AWn0u_q,Strong
1!5y_oWg_4degw(eVrjEXu6Vkm,Excellent
9F7sP4Q8({*]A|M,Strong
sypromcm3,Weak
iiiiii,Very Weak
D]3R3Rofzn25;hewvnhTj6G#i,Excellent
283767,Very Weak
Thunder914<,Moderate
$S{(Vj4=QU,Moderate
P65rK5B{D&t<Kvxxu,Strong
ho1[)C2pSsO(0L6Qd!Dgf|v3f,Excellent
V*bbhh6=Y$a8XSA7,Strong
Ir0uSA@?gMtf#4,Strong
Security96{,Moderate
muskv,Very Weak
michael764,Weak
buster966,Weak
ppppppp,Very Weak
g+hp47dykdQN1UU0e%do;kP(sz,Excellent
Jupiter537[,Moderate
x;!Y9o=sXwYHqEzfg7F0yiDxaq9,Excellent
=$Ypx1MMD|t,Moderate
B{0o(qilo:1Ks8!EKYQ.jdHT3kU,Excellent
]Iz}eY?6Qj,Moderate
eo92,Very Weak
5za[IjB74f.+Xr,Strong
e2n?&5J$ixoxbGjzE0U00m>@uQ,Excellent
xpofknwf4,Weak
wjl,Very Weak
lc95,Very Weak
l3yb.nRk7tiiETo-;16mr:KZmX,Excellent
2+k=_Jb47cEsIQ,Strong
K6C^lid3PmR:h{,Strong
Kqnk,Very Weak
jv75,Very Weak
&Dc2L{9oehM6Uix,Strong
Cobdjzhm,Weak
rsxmzfy2,Weak
Rremqnhlx,Weak
x&JRg9XS[:4S0Q8,Strong
duc,Very Weak
7A_2hW+n6-lFcJD,Strong
hnimex36,Weak
8+d1dN&xE8*N3qxqYvpN#eqvrT,Excellent
022,Very Weak
buster245,Weak
mhokbgyj,Weak
Niwoyalxj,Weak
V8dyvrI]gwidG#407iQcR5ds0-,Excellent
tj98,Very Weak
Qgxxb,Very Weak
90vguqzaxn15,Moderate
Thunder605<,Moderate
wjevxabl,Weak
xugmwiptbrv&,Moderate
H@LAjRkz<w37C_0d,Strong
vIvsJ5WOQ9c6#6qvO37<zN?3xe,Excellent
vlymgwbjp,Weak
ydikq35,Weak
6DE&er_V6!&,Moderate
Dp?JW9w52PxifJos8p1Xz&hs[o,Excellent
333,Very Weak
"R31UO7:,WD0L!(",Strong
*&92hjGxCBPS!al,Strong
ybylzhrm3,Weak
"1egy,3-HMTi$f5FwK",Strong
B<AsD0z4b@(4TreB,Strong
"9e70uapMI<,c6q{Ka2yZ.;CVfc",Excellent
3bmiI%65zoS0GqubmEq*6_f7wa,Excellent
Phoenix512|,Moderate
szn,Very Weak
B|wHy9FV2csg0>I,Strong
{XZRW=NL#|[,Moderate
Dzeqw,Very Weak
ic51,Very Weak
F3s0^g1Jyd:BhuUe9tJm:#7l^N,Excellent
ZePg7e-{}n6XD8bL,Strong
iSFhZY08P?c,Moderate
MFX]C81dzn@f8z2:iRdPwv0e_,Excellent
yrfxo03,Weak
8342525005,Weak
qstl,Very Weak
Jaeftuwhq,Weak
9702427784,Weak
ulmhtgk77,Weak
%U59Yp@lir1N?Egv,Strong
thomas282,Weak
"7,a[#+1-N9c24V",Strong
izs,Very Weak
pji5Nb|Rq:-9SD,Strong
gnpwlmbw4,Weak
Security159&,Moderate
!cFb(9wmb]9%W]qHg31xsxb4RZ,Excellent
gw1MS!.Z+o@hV2p,Strong
monkey900,Weak
Dhe,Very Weak
zK8+>GtiJvYK[v90,Strong
03066,Very Weak
J[w-ZkEdE6M,Moderate
"2(eb>b8p,zt_uy58NyJoFExr1r",Excellent
>R9JQ}nW<,Moderate
kkkk,Very Weak
mOFVDh8qs^]cL>R,Strong
fsidtuo36,Weak
oJ^te727>O}rnrAqu4GoQuO|7,Excellent
M+w(gu3;z%18sYl,Strong
511393,Very Weak
SO3=;>w2KXRcjz,Strong
wb8uf*8rB0CvaJikAf2]Dc6mv-,Excellent
jordan846,Weak
xfh[8nJjVurT1un94yKbkBv}(c,Excellent
"YItr:s|0Nq,h6V",Strong
1I:b4!j1P7yzSf^oWee0-vmL1g,Excellent
Veaxryws,Weak
)@[=KY5?SCD,Moderate
"c]bmq,5vWHZ2-eda1,lmDtG205",Excellent
-atY*oY6=:MNko<feNDnWj-d5Vh7,Excellent
pojvrlh69,Weak
tajmawm00,Weak
fffffff,Very Weak
kbltdux5,Weak
cajzpn75,Weak
)jJElDs07)n!FtdF2,Strong
Wfljevgc,Weak
F?0*jgdlT2pPt7U_Q,Strong
zxcv,Very Weak
q7tX}QETR3*-p1rb,Strong
7kN.bz)sG96rzc_njv9V9Shug3,Excellent
"6d14Wb,IhIw{jciSx09vD_y,6;X",Excellent
gpb$pxEf+2P!K30WI,Strong
"e7,|-+Qr:gx",Moderate
oip]apX2bO2Kgp4x]6spH{TaL,Excellent
Zyodyoplt,Weak
6shBJy(<-2xmZ3,Strong
63077,Very Weak
RfS0*W5tZp-nM|,Strong
0lwI4.pMf}G4=AiM,Strong
wD_3NgP+I1[)0q,Strong
shadow652,Weak
_vF27rXTi=Y:ea.Zvfg5jbb20,Excellent
",62dy?w@|Zh",Moderate
"cD32,$MLtZsv8GH",Strong
"T2>{fpJ2F,1",Moderate
^]G2)beWO,Moderate
buster689,Weak
%]txFMheH3.6GGf8,Strong
;1oM1:S7fJz]qZeoI,Strong
ufeap87,Weak
",1.UF6vysgd8%rN",Strong
2BB[0(s-&Mt,Moderate
4Q5yW>ld@Q^J5dfIn,Strong
Yrf,Very Weak
buster654,Weak
QJ?&5vLu^7@OZC,Strong
Xqpgr,Very Weak
l=v4HF51eoU+[D,Strong
7CDC;eF5H!*.xW1kI3;O?y8Zsz>,Excellent
T0$SEKdyN7=9l)o,Strong
Thunder815-,Moderate
qmlhtsd23,Weak
iloveyou,Very Weak
&7I9TPwyulj[S_,Strong
wwji,Very Weak
488,Very Weak
066,Very Weak
NUUk1Ba_W1[X=MQ,Strong
ihrfp,Very Weak
AHT6[#ZC*I0vB>R,Strong
Jupiter569#,Moderate
b+9XrnQ01TKLuc;,Strong
uwxsyql48,Weak
I]%ww8Sku3b]jGN2B,Strong
vaebn53,Weak
Security132>,Moderate
Mrzfh,Very Weak
m8v7IzcA2Wu,Moderate
iv57,Very Weak
gadsuvcwbtp.,Moderate
Iusn,Very Weak
D!u=A|MHqx2In?7,Strong
c(76)reWVs,Moderate
Seflphoz,Weak
464,Very Weak
hUazM#DX72Tvj%!f,Strong
*Y6Ibv8p1t;jUQ},Strong
"4@P<g2,s7",Moderate
zjhiraq13,Weak
2560378639,Weak
thomas497,Weak
Jj_PU(GX_cE,Moderate
sa66,Very Weak
m97oC&uVXBd)|R,Strong
;4ZK5&SbwPnZ>M4pnotxk3jwc,Excellent
Ez5%RolOUrfC8]Bz8s;j%k178d,Excellent
[7Lx{^PWfO4vQa,Strong
vwprag28,Weak
6e_PvLdnJq6:h14FKU?ap]9x,Excellent
617867937,Weak
n1XW6kKI2|[!Cd1,Strong
"4qs@t24,8oNx?HCesE0RXvWP",Excellent
=8AkN_e1ZG9txlV,Strong
617108541,Weak
dragon862,Weak
=EZ7K3Us7{%,Moderate
adwhcg20,Weak
0454,Very Weak
935617699,Weak
L.348cIczpwBH|%^2<PgH[T]wT5,Excellent
f;pglH|a5>UZ3C,Strong
>}fpXvb6j5TFjRr8]41?mYvCl,Excellent
nBFCtFuy8YClz2f5#f0-kn:75,Excellent
michael530,Weak
Jnmrk,Very Weak
rilruoj88,Weak
@n40vD{91uAxwzb]37vfNqhXY,Excellent
@t0L6chbsN[?8W=,Strong
vsypwcikhfa#,Moderate
asdf,Very Weak
ranger453,Weak
BNi-wj1vCsyiT[!B@kO[<Oq2A901,Excellent
monkey809,Weak
59jcriptsh83,Moderate
vikm,Very Weak
R2Ne|U4F0w,Moderate
bbbb,Very Weak
ffffff,Very Weak
jzunl94,Weak
0l4!igATy_1)&7DSLxao7FMV4,Excellent
qqqqq,Very Weak
1330689191,Weak
Jupiter820#,Moderate
cvrekfj27,Weak
{29r[IDj4:-NzM,Strong
Mgoj,Very Weak
5:roD=&Dq<N,Moderate
hyqtc,Very Weak
"SsF1BR3?X36c5hQ?7npp=iu,d{*",Excellent
IZGmLCt=e>39)r,Strong
Nzv,Very Weak
z=vNsY76;x1l%AH,Strong
";xtiU!3%8k,",Moderate
vxfcukmq,Weak
#{U90h0jm|4Lm}shfaLietSA1,Excellent
Iegskqgtn,Weak
jordan498,Weak
"lHJ<,YJqE1Z",Moderate
Owq,Very Weak
hunter938,Weak
Thunder954*,Moderate
"LzGYUG<pgdb69g:KhiW]QwS6k,P",Excellent
8msakgH|&R62se37lf?chjLmJ,Excellent
rhclzwev6,Weak
kQmYAc7&tjZ315th&{&4gbKuk>,Excellent
Du;9YPkG<qYxq1d92ztI>ckykl,Excellent
xfds,Very Weak
master678,Weak
IsNB@2y>UF]70qz,Strong
x1nc<V7txNGhG._J4,Strong
)pJw*t3S0C5{d0D9qO.c@=:rsIc,Excellent
Rpa68wHcu-Zw1<*oS3ivCapkyt,Excellent
Security401.,Moderate
"Security30,",Moderate
ggggggg,Very Weak
",t$o*$XQj4Gf=GNM9fbH&K,7(73",Excellent
-!p%voak:XW,Moderate
150302996,Weak
9tcI]}kz!U,Moderate
rlbpo01,Weak
"BvNPd@?<g2,9QkhnA0HCCnflEZWr",Excellent
Phoenix213@,Moderate
xd9l.hanyso<u4QDkK%k94z&8A,Excellent
!>%HIz?eTO,Moderate
"p,q{SbIRM9Z6p7<lt",Strong
yogkcb29,Weak
